,addisplay/kuguo,adware/airpush,benign/benign,downloader/jiagu,trojan/artemis
addisplay/kuguo,177,1,22,0,0
adware/airpush,0,181,18,0,1
benign/benign,20,15,161,0,4
downloader/jiagu,0,0,0,200,0
trojan/artemis,8,3,16,5,168
