,addisplay/kuguo,adware/airpush,benign/benign,downloader/jiagu,trojan/artemis
addisplay/kuguo,129,3,17,0,1
adware/airpush,0,144,4,0,2
benign/benign,16,7,117,0,10
downloader/jiagu,0,0,0,150,0
trojan/artemis,3,3,14,6,124
