,addisplay/kuguo,adware/airpush,benign/benign,downloader/jiagu,trojan/artemis
addisplay/kuguo,141,3,31,1,24
adware/airpush,0,177,20,0,3
benign/benign,41,9,113,1,36
downloader/jiagu,0,0,0,200,0
trojan/artemis,14,9,16,12,149
