,addisplay/kuguo,adware/airpush,benign/benign,downloader/jiagu,trojan/artemis
addisplay/kuguo,751,15,142,0,92
adware/airpush,4,893,97,0,6
benign/benign,210,40,606,6,138
downloader/jiagu,0,0,0,999,1
trojan/artemis,64,35,74,59,768
