,addisplay/kuguo,adware/airpush,benign/benign,downloader/jiagu,trojan/artemis
addisplay/kuguo,122,3,23,0,2
adware/airpush,0,134,14,0,2
benign/benign,28,8,109,0,5
downloader/jiagu,0,0,0,150,0
trojan/artemis,6,10,15,7,112
