,addisplay/kuguo,adware/airpush,benign/benign,downloader/jiagu,trojan/artemis
addisplay/kuguo,970,4,26,0,0
adware/airpush,0,969,30,0,1
benign/benign,33,29,936,1,1
downloader/jiagu,0,0,0,997,3
trojan/artemis,18,12,28,22,920
