,addisplay/kuguo,adware/airpush,benign/benign,downloader/jiagu,trojan/artemis
addisplay/kuguo,903,18,77,0,2
adware/airpush,10,897,88,0,5
benign/benign,148,51,790,1,10
downloader/jiagu,0,0,0,999,1
trojan/artemis,56,40,105,30,769
