Feature,Importance (Mean),Std
GCM_716,0.008174932749284491,0.0
GCM_897,0.008027930288047316,0.0
GCM_115,0.007543654443252761,0.0
GCM_120,0.006445223958884464,0.0
GCM_479,0.006434941293168078,0.0
GCM_90,0.0058179949637943125,0.0
GCM_306,0.005781428572148893,0.0
GCM_141,0.005556107189522758,0.0
GCM_83,0.005456020326429433,0.0
GCM_123,0.0054301934694982925,0.0
GCM_201,0.005335096017422893,0.0
GCM_931,0.005250457431459104,0.0
GCM_940,0.005195288474752522,0.0
GCM_921,0.005181911819764993,0.0
GCM_869,0.004833785566444873,0.0
GCM_792,0.004799605128701706,0.0
GCM_62,0.004761664838861478,0.0
GCM_730,0.004736616890206084,0.0
GCM_126,0.004592040336793623,0.0
GCM_4125,0.0045735074762960105,0.0
GCM_496,0.004441364883325211,0.0
GCM_16,0.0041317528516222335,0.0
GCM_643,0.004009257703674045,0.0
GCM_157,0.004002876438798233,0.0
GCM_105,0.003983470397390662,0.0
GCM_151,0.003977160259711707,0.0
GCM_445,0.003941692132055091,0.0
GCM_13,0.0037092138031077967,0.0
GCM_124,0.0036449695983194665,0.0
GCM_37,0.003527787180356492,0.0
GCM_42,0.0034152569382044236,0.0
GCM_189,0.0033391834024924186,0.0
GCM_143,0.003282802976302554,0.0
GCM_71,0.003273166079989265,0.0
GCM_118,0.0032722722491557053,0.0
GCM_40,0.0032553347188012853,0.0
GCM_342,0.003146687946778345,0.0
GCM_738,0.0031458824759989256,0.0
GCM_941,0.0031110099530591816,0.0
GCM_25,0.0031092423570619897,0.0
GCM_68,0.0031009256483522196,0.0
GCM_2865,0.0030779832584105684,0.0
GCM_2204,0.0030213908137031974,0.0
GCM_684,0.0029044412383777245,0.0
GCM_70,0.0028953611310431754,0.0
GCM_891,0.0028951969755806766,0.0
GCM_202,0.0028001992396676323,0.0
GCM_553,0.0027854992586536396,0.0
GCM_117,0.0027694760267273134,0.0
GCM_933,0.002762686157794979,0.0
