Fold,Accuracy,Macro F1,Weighted F1,Macro AUC,N Train,N Val
1,0.82,0.8214967087545867,0.8214967087545866,0.9615674999999999,4000,1000
2,0.841,0.8410845681443428,0.8410845681443427,0.9693412499999999,4000,1000
3,0.836,0.8374023150140475,0.8374023150140474,0.9616412499999999,4000,1000
4,0.833,0.8317127981778958,0.8317127981778956,0.9674525,4000,1000
5,0.831,0.834096985529564,0.834096985529564,0.9653075,4000,1000

Consistency Metrics
Metric,Mean,Std,Min,Max,Range
accuracy,0.8321999999999999,0.006968500556073745,0.82,0.841,0.02100000000000002
macro_f1,0.8331586751240874,0.0066302444275926084,0.8214967087545867,0.8410845681443428,0.019587859389756157
weighted_f1,0.8331586751240874,0.006630244427592616,0.8214967087545866,0.8410845681443427,0.019587859389756157
macro_auc,0.965062,0.0030983802825024893,0.9615674999999999,0.9693412499999999,0.007773750000000024
