Fold,Accuracy,Macro F1,Weighted F1,Macro AUC,N Train,N Val
1,0.767,0.7640894364326003,0.7640894364326002,0.9357212500000001,4000,1000
2,0.788,0.7861242630544767,0.7861242630544766,0.9512274999999999,4000,1000
3,0.777,0.7723561937915286,0.7723561937915288,0.9393487500000001,4000,1000
4,0.779,0.7734998214598912,0.7734998214598912,0.94148125,4000,1000
5,0.768,0.763661175483391,0.763661175483391,0.9409025,4000,1000

Consistency Metrics
Metric,Mean,Std,Min,Max,Range
accuracy,0.7758,0.007730459236035082,0.767,0.788,0.02100000000000002
macro_f1,0.7719461780443775,0.008172755612629869,0.763661175483391,0.7861242630544767,0.022463087571085727
weighted_f1,0.7719461780443775,0.008172755612629853,0.763661175483391,0.7861242630544766,0.022463087571085616
macro_auc,0.9417362499999999,0.005152171811479057,0.9357212500000001,0.9512274999999999,0.015506249999999833
