Fold,Accuracy,Macro F1,Weighted F1,Macro AUC,N Train,N Val
1,0.871,0.8719678654514158,0.8719678654514159,0.9813262500000001,4000,1000
2,0.899,0.899454993827492,0.899454993827492,0.98390375,4000,1000
3,0.896,0.8961236584836396,0.8961236584836395,0.980565625,4000,1000
4,0.888,0.887581934497323,0.8875819344973231,0.9842543750000001,4000,1000
5,0.888,0.8875907442685964,0.8875907442685965,0.9811574999999999,4000,1000

Consistency Metrics
Metric,Mean,Std,Min,Max,Range
accuracy,0.8884000000000001,0.009728309205612257,0.871,0.899,0.028000000000000025
macro_f1,0.8885438393056934,0.009519490658609082,0.8719678654514158,0.899454993827492,0.027487128376076253
weighted_f1,0.8885438393056934,0.009519490658609022,0.8719678654514159,0.899454993827492,0.027487128376076142
macro_auc,0.9822415000000001,0.0015255186925272656,0.980565625,0.9842543750000001,0.0036887500000001294
