Metric,Value
Accuracy,0.8034
Macro F1,0.8013217409067078
Weighted F1,0.8013217409067078
Macro Precision,0.8001559229887818
Macro Recall,0.8034000000000001
Macro AUC,0.9538499749999998

Class,F1,Precision,Recall
addisplay/kuguo,0.7402661409561361,0.7298347910592808,0.751
adware/airpush,0.9006555723651034,0.9084435401831129,0.893
benign/benign,0.631578947368421,0.6594124047878128,0.606
downloader/jiagu,0.9680232558139535,0.9389097744360902,0.999
trojan/artemis,0.7660847880299252,0.764179104477612,0.768
