Metric,Value
Accuracy,0.8853333333333333
Macro F1,0.8846441306945764
Weighted F1,0.8846441306945766
Macro Precision,0.8850407733091481
Macro Recall,0.8853333333333332
Macro AUC,0.9791266666666669

Class,F1,Precision,Recall
addisplay/kuguo,0.8657718120805369,0.8716216216216216,0.86
adware/airpush,0.9381107491856677,0.9171974522292994,0.96
benign/benign,0.7748344370860927,0.7697368421052632,0.78
downloader/jiagu,0.9803921568627451,0.9615384615384616,1.0
trojan/artemis,0.8641114982578397,0.9051094890510949,0.8266666666666667
