Metric,Value
Accuracy,0.836
Macro F1,0.8381488807636313
Weighted F1,0.8381488807636313
Macro Precision,0.8491558061564749
Macro Recall,0.836
Macro AUC,0.9675437499999999

Class,F1,Precision,Recall
addisplay/kuguo,0.7971698113207547,0.7544642857142857,0.845
adware/airpush,0.8781725888324873,0.8917525773195877,0.865
benign/benign,0.6901408450704225,0.6504424778761062,0.735
downloader/jiagu,0.9876543209876543,0.975609756097561,1.0
trojan/artemis,0.8376068376068376,0.9735099337748344,0.735
