Metric,Value
Accuracy,0.9558
Macro F1,0.9559758291973142
Weighted F1,0.9559758291973142
Macro Precision,0.9576731178914681
Macro Recall,0.9558
Macro AUC,0.9955878

Class,F1,Precision,Recall
addisplay/kuguo,0.9639149777558083,0.9530791788856305,0.975
adware/airpush,0.9608540925266904,0.9772492244053774,0.945
benign/benign,0.9181905678537055,0.8849721706864564,0.954
downloader/jiagu,0.9871287128712871,0.9774509803921568,0.997
trojan/artemis,0.9497907949790795,0.9956140350877193,0.908
