Metric,Value
Accuracy,0.764
Macro F1,0.7598965879610183
Weighted F1,0.7598965879610183
Macro Precision,0.7605780326713599
Macro Recall,0.764
Macro AUC,0.9365844444444444

Class,F1,Precision,Recall
addisplay/kuguo,0.6896551724137931,0.7142857142857143,0.6666666666666666
adware/airpush,0.8859060402684564,0.8918918918918919,0.88
benign/benign,0.5620437956204379,0.6209677419354839,0.5133333333333333
downloader/jiagu,0.9646302250803859,0.9316770186335404,1.0
trojan/artemis,0.6972477064220184,0.6440677966101694,0.76
