Metric,Value
Accuracy,0.9584
Macro F1,0.9583781048395628
Weighted F1,0.9583781048395628
Macro Precision,0.9590725814363805
Macro Recall,0.9583999999999999
Macro AUC,0.99627895

Class,F1,Precision,Recall
addisplay/kuguo,0.9599208312716477,0.9500489715964741,0.97
adware/airpush,0.9622641509433962,0.9556213017751479,0.969
benign/benign,0.9267326732673268,0.9176470588235294,0.936
downloader/jiagu,0.9871287128712871,0.9774509803921568,0.997
trojan/artemis,0.9558441558441558,0.9945945945945946,0.92
