Metric,Value
Accuracy,0.8716
Macro F1,0.8718596237657182
Weighted F1,0.8718596237657185
Macro Precision,0.8784759529464965
Macro Recall,0.8715999999999999
Macro AUC,0.9790409500000001

Class,F1,Precision,Recall
addisplay/kuguo,0.8530940009447331,0.8084153983885407,0.903
adware/airpush,0.8943170488534397,0.8916500994035785,0.897
benign/benign,0.7669902912621359,0.7452830188679245,0.79
downloader/jiagu,0.9842364532019704,0.9699029126213592,0.999
trojan/artemis,0.8606603245663123,0.97712833545108,0.769
