Metric,Value
Accuracy,0.876
Macro F1,0.8763443396889482
Weighted F1,0.8763443396889482
Macro Precision,0.8792716472119736
Macro Recall,0.876
Macro AUC,0.9741777777777777

Class,F1,Precision,Recall
addisplay/kuguo,0.8571428571428571,0.8354430379746836,0.88
adware/airpush,0.9163879598662207,0.9194630872483222,0.9133333333333333
benign/benign,0.7532467532467533,0.7341772151898734,0.7733333333333333
downloader/jiagu,0.9803921568627451,0.9615384615384616,1.0
trojan/artemis,0.8745519713261649,0.9457364341085271,0.8133333333333334
